row_id,engagement_score
89371,4.47
89372,3.547
89373,3.099
89374,3.074
89375,3.786
89376,3.889
89377,4.055
89378,3.999
89379,3.848
89380,4.38
89381,3.428
89382,4.067
89383,2.59
89384,3.944
89385,4.471
89386,3.155
89387,3.17
89388,3.926
89389,3.655
89390,4.363
89391,3.826
89392,3.26
89393,2.796
89394,3.853
89395,2.763
89396,3.664
89397,3.86
89398,3.64
89399,2.521
89400,3.608
89401,3.38
89402,3.263
89403,4.029
89404,3.828
89405,3.701
89406,3.614
89407,3.063
89408,3.043
89409,4.029
89410,3.066
89411,3.851
89412,4.035
89413,4.332
89414,4.13
89415,2.416
89416,2.551
89417,2.848
89418,2.559
89419,4.065
89420,2.468
89421,2.687
89422,3.153
89423,4.068
89424,3.644
89425,3.717
89426,3.605
89427,3.231
89428,3.781
89429,2.495
89430,3.503
89431,3.482
89432,3.706
89433,4.226
89434,4.402
89435,2.487
89436,2.624
89437,2.359
89438,3.663
89439,2.993
89440,4.235
89441,3.334
89442,4.001
89443,3.219
89444,3.381
89445,4.415
89446,3.732
89447,1.958
89448,3.409
89449,3.121
89450,2.457
89451,4.059
89452,4.183
89453,2.31
89454,2.516
89455,3.243
89456,3.467
89457,3.716
89458,4.257
89459,2.699
89460,3.864
89461,3.292
89462,3.903
89463,2.395
89464,3.646
89465,3.222
89466,4.03
89467,2.914
89468,3.695
89469,2.378
89470,1.9
89471,3.509
89472,4.299
89473,3.213
89474,2.821
89475,3.481
89476,3.528
89477,3.254
89478,3.304
89479,3.18
89480,3.727
89481,3.48
89482,3.666
89483,3.366
89484,3.547
89485,3.532
89486,3.782
89487,3.846
89488,2.851
89489,4.146
89490,3.768
89491,3.541
89492,3.738
89493,4.31
89494,4.099
89495,3.481
89496,2.64
89497,3.177
89498,3.422
89499,3.337
89500,3.792
89501,3.448
89502,2.253
89503,4.065
89504,2.48
89505,4.383
89506,2.604
89507,4.067
89508,3.28
89509,3.376
89510,4.137
89511,3.831
89512,3.828
89513,4.32
89514,3.672
89515,3.604
89516,1.967
89517,2.607
89518,3.783
89519,3.971
89520,3.872
89521,4.211
89522,2.722
89523,3.765
89524,4.063
89525,3.666
89526,4.121
89527,3.375
89528,3.828
89529,3.722
89530,3.61
89531,4.022
89532,4.05
89533,2.874
89534,2.999
89535,3.582
89536,3.424
89537,3.619
89538,3.271
89539,2.147
89540,2.934
89541,2.772
89542,3.504
89543,3.04
89544,4.291
89545,3.242
89546,3.944
89547,4.565
89548,3.411
89549,3.184
89550,4.101
89551,3.385
89552,2.861
89553,3.766
89554,4.389
89555,3.619
89556,3.63
89557,3.701
89558,2.687
89559,2.999
89560,2.966
89561,4.517
89562,4.193
89563,3.82
89564,3.413
89565,3.854
89566,3.335
89567,3.274
89568,1.934
89569,4.397
89570,3.298
89571,4.104
89572,3.86
89573,2.832
89574,3.81
89575,2.909
89576,4.227
89577,3.533
89578,3.932
89579,4.478
89580,4.178
89581,3.655
89582,3.767
89583,3.487
89584,1.979
89585,3.74
89586,3.659
89587,4.249
89588,3.923
89589,4.11
89590,4.109
89591,2.362
89592,3.1
89593,3.884
89594,3.686
89595,4.032
89596,3.492
89597,4.052
89598,3.38
89599,2.767
89600,2.247
89601,4.037
89602,4.084
89603,3.439
89604,2.976
89605,2.575
89606,3.249
89607,2.199
89608,4.127
89609,4.514
89610,2.743
89611,3.014
89612,4.043
89613,3.634
89614,2.978
89615,3.755
89616,4.155
89617,3.324
89618,4.314
89619,3.788
89620,3.153
89621,2.995
89622,3.688
89623,3.171
89624,3.304
89625,3.776
89626,4.137
89627,3.022
89628,3.746
89629,3.794
89630,4.032
89631,2.632
89632,3.585
89633,4.069
89634,3.602
89635,2.986
89636,3.237
89637,4.114
89638,3.517
89639,3.793
89640,3.868
89641,4.301
89642,2.69
89643,3.998
89644,3.268
89645,3.381
89646,3.622
89647,4.146
89648,1.905
89649,3.484
89650,4.155
89651,3.035
89652,3.295
89653,3.689
89654,3.543
89655,4.327
89656,3.426
89657,2.81
89658,4.261
89659,4.006
89660,4.265
89661,3.279
89662,3.056
89663,4.09
89664,3.607
89665,3.72
89666,3.938
89667,3.041
89668,3.603
89669,3.648
89670,4.332
89671,2.414
89672,3.946
89673,3.243
89674,2.147
89675,3.768
89676,3.351
89677,4.285
89678,3.865
89679,3.789
89680,2.913
89681,4.365
89682,4.266
89683,3.894
89684,3.78
89685,3.432
89686,4.105
89687,2.954
89688,2.322
89689,4.173
89690,2.945
89691,3.796
89692,2.301
89693,3.819
89694,4.187
89695,3.796
89696,3.365
89697,3.662
89698,3.873
89699,3.448
89700,2.9
89701,4.162
89702,2.738
89703,4.108
89704,4.16
89705,3.056
89706,2.871
89707,4.196
89708,3.87
89709,2.657
89710,2.817
89711,2.204
89712,3.906
89713,3.622
89714,4.011
89715,2.57
89716,3.437
89717,4.109
89718,3.67
89719,3.878
89720,3.582
89721,3.472
89722,3.987
89723,3.221
89724,2.456
89725,3.783
89726,2.588
89727,3.12
89728,3.764
89729,4.018
89730,2.477
89731,4.06
89732,2.943
89733,2.277
89734,4.198
89735,4.112
89736,3.763
89737,2.873
89738,4.586
89739,4.002
89740,3.896
89741,3.204
89742,3.956
89743,2.727
89744,3.437
89745,3.72
89746,2.983
89747,3.484
89748,1.05
89749,2.601
89750,3.038
89751,2.775
89752,4.312
89753,3.936
89754,3.742
89755,3.982
89756,4.24
89757,2.389
89758,4.698
89759,3.561
89760,2.884
89761,3.225
89762,3.203
89763,3.423
89764,3.423
89765,2.823
89766,2.647
89767,3.688
89768,3.339
89769,4.252
89770,2.237
89771,4.679
89772,2.521
89773,3.893
89774,4.593
89775,3.495
89776,2.784
89777,4.48
89778,2.263
89779,3.501
89780,3.483
89781,3.41
89782,4.306
89783,3.748
89784,2.697
89785,3.31
89786,4.159
89787,3.524
89788,3.886
89789,4.124
89790,3.409
89791,4.122
89792,3.717
89793,3.494
89794,2.616
89795,2.59
89796,2.062
89797,3.23
89798,3.478
89799,2.534
89800,2.617
89801,3.63
89802,2.622
89803,4.18
89804,2.237
89805,3.455
89806,4.359
89807,4.262
89808,3.452
89809,2.645
89810,3.859
89811,3.709
89812,2.853
89813,4.513
89814,3.653
89815,2.566
89816,2.195
89817,3.989
89818,3.762
89819,2.976
89820,3.111
89821,2.887
89822,3.804
89823,3.118
89824,2.949
89825,4.674
89826,4.215
89827,3.934
89828,2.924
89829,2.817
89830,3.926
89831,4.136
89832,3.881
89833,4.015
89834,3.866
89835,3.458
89836,2.787
89837,2.788
89838,3.915
89839,3.302
89840,3.61
89841,3.849
89842,2.264
89843,3.69
89844,3.247
89845,3.165
89846,3.606
89847,2.041
89848,3.869
89849,3.471
89850,3.528
89851,3.528
89852,2.675
89853,3.828
89854,3.544
89855,2.631
89856,4.038
89857,4.125
89858,4.053
89859,3.872
89860,3.578
89861,4.003
89862,3.892
89863,4.209
89864,2.505
89865,4.141
89866,3.6
89867,3.143
89868,4.344
89869,2.271
89870,3.554
89871,3.983
89872,4.081
89873,3.897
89874,3.385
89875,2.934
89876,3.766
89877,4.173
89878,4.181
89879,4.209
89880,3.822
89881,3.404
89882,3.334
89883,3.336
89884,2.854
89885,4.186
89886,4.189
89887,2.473
89888,3.615
89889,3.886
89890,3.902
89891,4.145
89892,3.495
89893,3.174
89894,3.988
89895,3.358
89896,2.635
89897,3.543
89898,3.598
89899,4.153
89900,4.012
89901,4.295
89902,4.433
89903,4.68
89904,4.017
89905,2.809
89906,4.5
89907,2.927
89908,2.87
89909,3.6
89910,2.781
89911,3.377
89912,3.779
89913,3.745
89914,4.626
89915,4.198
89916,3.355
89917,2.478
89918,2.914
89919,3.005
89920,3.712
89921,4.113
89922,3.373
89923,3.291
89924,2.647
89925,3.305
89926,3.763
89927,4.036
89928,3.466
89929,4.007
89930,2.788
89931,4.08
89932,3.291
89933,2.642
89934,2.692
89935,2.536
89936,3.663
89937,3.398
89938,2.486
89939,4.009
89940,4.1
89941,3.911
89942,4.269
89943,2.486
89944,4.335
89945,3.55
89946,4.14
89947,2.839
89948,3.569
89949,3.733
89950,3.831
89951,4.269
89952,3.381
89953,3.81
89954,3.994
89955,3.512
89956,2.515
89957,2.888
89958,3.838
89959,3.775
89960,3.032
89961,4.235
89962,3.394
89963,3.693
89964,2.534
89965,3.459
89966,3.925
89967,3.682
89968,3.729
89969,3.775
89970,2.935
89971,3.705
89972,3.743
89973,4.094
89974,4.052
89975,3.428
89976,2.914
89977,3.647
89978,3.918
89979,3.865
89980,3.678
89981,3.578
89982,3.791
89983,3.61
89984,4.207
89985,3.688
89986,2.946
89987,3.765
89988,3.919
89989,4.208
89990,4.512
89991,3.136
89992,4.086
89993,4.141
89994,4.012
89995,2.672
89996,4.274
89997,4.657
89998,3.51
89999,2.454
90000,3.14
90001,3.738
90002,4.328
90003,3.092
90004,2.516
90005,4.42
90006,4.273
90007,3.892
90008,2.396
90009,3.716
90010,3.658
90011,3.082
90012,4.272
90013,3.081
90014,2.969
90015,2.066
90016,4.192
90017,3.697
90018,2.98
90019,3.398
90020,2.751
90021,3.908
90022,3.157
90023,4.336
90024,2.382
90025,3.438
90026,3.148
90027,3.804
90028,3.526
90029,4.023
90030,2.816
90031,4.324
90032,2.943
90033,2.831
90034,3.274
90035,3.611
90036,3.691
90037,4.05
90038,3.789
90039,4.416
90040,2.876
90041,4.355
90042,3.172
90043,3.476
90044,3.548
90045,3.712
90046,3.684
90047,3.082
90048,4.393
90049,4.246
90050,4.037
90051,3.499
90052,4.014
90053,3.785
90054,4.306
90055,3.434
90056,3.053
90057,3.954
90058,3.096
90059,3.791
90060,3.854
90061,2.397
90062,3.863
90063,3.099
90064,4.012
90065,3.599
90066,4.345
90067,4.438
90068,2.816
90069,3.235
90070,4.387
90071,2.989
90072,2.599
90073,3.792
90074,2.762
90075,2.858
90076,4.013
90077,4.32
90078,3.136
90079,4.491
90080,2.056
90081,4.126
90082,3.31
90083,4.078
90084,4.006
90085,4.064
90086,3.726
90087,2.947
90088,4.016
90089,3.769
90090,3.637
90091,3.442
90092,4.325
90093,4.323
90094,3.528
90095,3.745
90096,2.836
90097,3.497
90098,4.185
90099,3.691
90100,2.559
90101,3.041
90102,2.744
90103,3.503
90104,3.518
90105,3.205
90106,3.895
90107,2.939
90108,4.002
90109,3.335
90110,3.668
90111,3.517
90112,2.227
90113,3.403
90114,1.875
90115,2.155
90116,3.886
90117,3.827
90118,3.131
90119,3.586
90120,2.763
90121,3.868
90122,3.244
90123,3.3
90124,3.638
90125,4.13
90126,3.024
90127,3.442
90128,3.524
90129,3.87
90130,3.98
90131,3.41
90132,3.638
90133,3.698
90134,2.719
90135,3.981
90136,1.84
90137,3.218
90138,3.48
90139,4.31
90140,3.943
90141,2.373
90142,3.232
90143,2.853
90144,4.071
90145,3.048
90146,3.73
90147,3.744
90148,4.142
90149,3.051
90150,3.628
90151,4.21
90152,3.745
90153,3.735
90154,3.074
90155,4.079
90156,3.997
90157,2.067
90158,3.615
90159,3.873
90160,4.028
90161,2.211
90162,2.927
90163,3.06
90164,3.356
90165,3.498
90166,2.955
90167,4.272
90168,3.283
90169,4.504
90170,4.202
90171,3.794
90172,3.208
90173,3.586
90174,3.521
90175,3.917
90176,2.681
90177,2.174
90178,3.581
90179,2.392
90180,4.438
90181,2.516
90182,4.415
90183,3.079
90184,3.004
90185,2.677
90186,2.728
90187,3.164
90188,2.81
90189,3.358
90190,3.68
90191,4.424
90192,4.282
90193,3.601
90194,4.565
90195,2.636
90196,4.372
90197,3.576
90198,3.177
90199,3.635
90200,3.532
90201,4.207
90202,2.887
90203,3.644
90204,2.709
90205,4.25
90206,3.752
90207,3.355
90208,3.798
90209,3.408
90210,3.855
90211,4.137
90212,3.971
90213,3.858
90214,3.456
90215,4.068
90216,2.457
90217,3.237
90218,3.657
90219,4.443
90220,2.233
90221,4.232
90222,3.444
90223,2.736
90224,3.522
90225,4.034
90226,3.428
90227,3.094
90228,2.791
90229,3.628
90230,2.559
90231,3.29
90232,4.046
90233,3.651
90234,3.94
90235,4.03
90236,4.06
90237,3.789
90238,4.098
90239,4.748
90240,3.685
90241,3.824
90242,3.653
90243,4.179
90244,4.183
90245,3.728
90246,3.079
90247,3.46
90248,3.53
90249,3.548
90250,2.097
90251,3.788
90252,2.638
90253,4.598
90254,2.992
90255,4.007
90256,2.785
90257,1.559
90258,3.513
90259,2.598
90260,3.193
90261,4.041
90262,3.215
90263,3.52
90264,2.15
90265,3.475
90266,3.707
90267,4.243
90268,3.625
90269,2.04
90270,3.347
90271,3.235
90272,4.29
90273,1.983
90274,4.036
90275,4.01
90276,4.177
90277,3.945
90278,2.951
90279,3.257
90280,2.457
90281,4.309
90282,4.201
90283,3.576
90284,3.363
90285,3.957
90286,2.106
90287,2.895
90288,2.485
90289,3.329
90290,3.601
90291,3.525
90292,2.094
90293,2.452
90294,2.877
90295,2.917
90296,4.261
90297,2.443
90298,3.968
90299,4.114
90300,2.771
90301,2.59
90302,3.882
90303,4.054
90304,3.283
90305,3.455
90306,3.529
90307,4.236
90308,4.07
90309,4.343
90310,3.694
90311,2.938
90312,3.444
90313,3.846
90314,3.405
90315,2.913
90316,0.742
90317,4.473
90318,3.154
90319,3.467
90320,3.353
90321,3.965
90322,4.464
90323,2.246
90324,3.792
90325,2.984
90326,3.298
90327,3.565
90328,3.287
90329,4.077
90330,3.789
90331,3.635
90332,3.931
90333,2.381
90334,4.268
90335,3.836
90336,3.675
90337,3.684
90338,3.714
90339,2.859
90340,3.839
90341,3.904
90342,3.425
90343,3.55
90344,3.691
90345,3.486
90346,3.558
90347,2.886
90348,3.03
90349,2.385
90350,3.057
90351,3.877
90352,4.066
90353,3.349
90354,4.138
90355,3.262
90356,2.533
90357,3.484
90358,4.398
90359,2.546
90360,4.409
90361,3.65
90362,3.918
90363,2.484
90364,2.79
90365,3.157
90366,2.924
90367,4.599
90368,2.856
90369,3.816
90370,2.44
90371,3.031
90372,3.674
90373,3.806
90374,4.505
90375,3.576
90376,3.019
90377,3.47
90378,3.714
90379,3.39
90380,3.822
90381,2.773
90382,3.329
90383,4.385
90384,2.518
90385,3.59
90386,4.019
90387,2.844
90388,3.977
90389,3.326
90390,4.004
90391,4.023
90392,2.784
90393,4.461
90394,3.021
90395,3.353
90396,4.156
90397,3.473
90398,4.188
90399,4.252
90400,3.144
90401,2.701
90402,3.936
90403,2.41
90404,3.289
90405,3.592
90406,3.665
90407,3.751
90408,3.583
90409,4.028
90410,2.984
90411,2.504
90412,4.013
90413,4.132
90414,4.319
90415,4.459
90416,2.182
90417,4.214
90418,2.362
90419,2.778
90420,2.635
90421,3.912
90422,3.374
90423,3.976
90424,2.824
90425,3.625
90426,3.168
90427,3.676
90428,3.558
90429,3.789
90430,3.94
90431,3.85
90432,4.113
90433,3.879
90434,4.241
90435,3.932
90436,2.872
90437,2.801
90438,4.271
90439,2.439
90440,3.384
90441,2.886
90442,3.972
90443,4.065
90444,3.339
90445,2.175
90446,3.983
90447,3.029
90448,4.116
90449,4.387
90450,2.646
90451,3.196
90452,3.634
90453,3.174
90454,3.264
90455,1.963
90456,4.582
90457,3.33
90458,3.664
90459,2.258
90460,3.885
90461,4.477
90462,4.124
90463,2.786
90464,3.017
90465,4.278
90466,2.053
90467,3.03
90468,3.661
90469,3.754
90470,3.648
90471,3.381
90472,3.66
90473,4.174
90474,4.41
90475,3.309
90476,4.063
90477,2.803
90478,2.977
90479,3.089
90480,3.225
90481,3.699
90482,3.644
90483,4.342
90484,3.239
90485,2.762
90486,4.151
90487,3.49
90488,3.548
90489,3.546
90490,4.041
90491,2.628
90492,4.364
90493,4.465
90494,3.717
90495,3.147
90496,3.721
90497,3.174
90498,3.561
90499,3.884
90500,2.372
90501,3.88
90502,3.606
90503,4.02
90504,3.483
90505,2.799
90506,3.755
90507,2.572
90508,3.901
90509,4.06
90510,3.771
90511,3.709
90512,4.158
90513,2.29
90514,3.845
90515,3.963
90516,1.619
90517,3.354
90518,4.007
90519,2.51
90520,3.315
90521,3.763
90522,4.319
90523,2
90524,4.236
90525,3.398
90526,4.034
90527,4.499
90528,1.808
90529,4.056
90530,4.04
90531,2.452
90532,4.15
90533,3.817
90534,2.317
90535,3.461
90536,4.315
90537,4.264
90538,3.694
90539,2.806
90540,3.85
90541,3.514
90542,3.949
90543,4.082
90544,3.444
90545,3.555
90546,4.264
90547,3.227
90548,2.702
90549,2.988
90550,3.672
90551,4.485
90552,3.79
90553,4.364
90554,3.327
90555,4.312
90556,3.2
90557,4.133
90558,4.041
90559,3.135
90560,4.149
90561,3.542
90562,3.725
90563,4.242
90564,3.381
90565,2.939
90566,3.908
90567,4.267
90568,3.95
90569,4.344
90570,3.728
90571,3.302
90572,3.433
90573,3.023
90574,2.486
90575,4.134
90576,4.546
90577,3.443
90578,3.658
90579,4.246
90580,3.039
90581,2.047
90582,3.428
90583,2.469
90584,2.908
90585,2.927
90586,4.01
90587,2.988
90588,3.81
90589,3.143
90590,4.128
90591,3.037
90592,4.055
90593,4.113
90594,3.605
90595,4.066
90596,4.235
90597,4.232
90598,3.522
90599,3.031
90600,4.29
90601,3.495
90602,2.644
90603,3.888
90604,3.671
90605,2.763
90606,4.015
90607,4.274
90608,4.12
90609,3.417
90610,3.964
90611,3.865
90612,2.867
90613,2.682
90614,3.161
90615,1.723
90616,1.955
90617,3.546
90618,2.08
90619,1.988
90620,4.204
90621,3.96
90622,3.729
90623,3.896
90624,2.298
90625,3.158
90626,4.626
90627,2.549
90628,3.737
90629,3.275
90630,2.045
90631,3.559
90632,3.397
90633,3.439
90634,4.201
90635,3.498
90636,4.099
90637,3.952
90638,3.566
90639,3.467
90640,3.488
90641,4.438
90642,2.286
90643,2.352
90644,4.309
90645,3.895
90646,4.161
90647,2.588
90648,3.505
90649,2.707
90650,3.143
90651,3.474
90652,4.41
90653,4.708
90654,3.282
90655,3.366
90656,2.457
90657,2.74
90658,2.359
90659,3.499
90660,4.105
90661,3.708
90662,4.373
90663,3.859
90664,4.649
90665,3.008
90666,4.023
90667,3.714
90668,4.348
90669,3.236
90670,3.285
90671,3.677
90672,3.946
90673,3.522
90674,3.903
90675,2.756
90676,2.968
90677,1.388
90678,3.654
90679,3.846
90680,3.213
90681,4.178
90682,3.393
90683,3.8
90684,2.17
90685,3.096
90686,3.494
90687,3.718
90688,2.789
90689,2.869
90690,3.481
90691,3.727
90692,3.813
90693,3.685
90694,4.446
90695,3.705
90696,3.765
90697,2.914
90698,3.175
90699,3.968
90700,4.081
90701,3.619
90702,3.078
90703,3.734
90704,3.491
90705,3.806
90706,2.868
90707,3.589
90708,4.102
90709,3.028
90710,2.935
90711,3.396
90712,3.315
90713,3.4
90714,2.785
90715,3.775
90716,2.886
90717,3.191
90718,3.55
90719,3.612
90720,3.574
90721,3.931
90722,3.875
90723,3.034
90724,4.089
90725,3.857
90726,3.289
90727,3.741
90728,3.903
90729,3.226
90730,2.573
90731,3.797
90732,3.261
90733,3.189
90734,3.187
90735,4.074
90736,3.504
90737,3.596
90738,2.23
90739,3.482
90740,2.339
90741,4.623
90742,3.109
90743,3.591
90744,4.041
90745,3.349
90746,2.909
90747,2.907
90748,3.073
90749,3.586
90750,3.422
90751,2.86
90752,2.496
90753,3.817
90754,2.294
90755,1.979
90756,3.624
90757,3.514
90758,3.983
90759,2.964
90760,3.807
90761,3.41
90762,3.377
90763,4.235
90764,2.945
90765,3.926
90766,3.153
90767,3.021
90768,2.266
90769,2.944
90770,3.395
90771,3.455
90772,4.08
90773,2.906
90774,3.87
90775,2.723
90776,3.6
90777,3.889
90778,3.503
90779,3.519
90780,3.485
90781,3.569
90782,3.358
90783,3.81
90784,3.7
90785,3.385
90786,3.264
90787,3.993
90788,3.816
90789,3.613
90790,2.659
90791,4.354
90792,3.572
90793,3.818
90794,2.944
90795,3.827
90796,3.548
90797,3.515
90798,2.63
90799,2.747
90800,3.887
90801,3.499
90802,3.126
90803,3.141
90804,3.999
90805,3.57
90806,3.714
90807,2.287
90808,2.768
90809,3.254
90810,4.255
90811,3.536
90812,4.312
90813,3.067
90814,3.608
90815,3.053
90816,4.011
90817,3.477
90818,3.187
90819,2.17
90820,3.824
90821,4.046
90822,3.631
90823,2.893
90824,4.25
90825,2.81
90826,3.941
90827,2.218
90828,4.27
90829,3.468
90830,2.139
90831,3.946
90832,3.225
90833,3.54
90834,3.893
90835,3.559
90836,3.568
90837,3.005
90838,4.38
90839,4.152
90840,4.106
90841,3.629
90842,3.951
90843,2.521
90844,3.904
90845,3.534
90846,3.615
90847,3.607
90848,3.686
90849,3.348
90850,2.424
90851,3.986
90852,4.079
90853,2.273
90854,2.922
90855,4.174
90856,3.923
90857,3.333
90858,3.892
90859,3.692
90860,4.128
90861,4.106
90862,2.932
90863,3.005
90864,2.562
90865,3.891
90866,3.412
90867,3.844
90868,3.586
90869,3.969
90870,3.214
90871,2.981
90872,4.524
90873,4.612
90874,2.933
90875,3.827
90876,3.595
90877,2.666
90878,3.699
90879,3.846
90880,4.244
90881,4.011
90882,4.517
90883,3.755
90884,3.352
90885,2.827
90886,3.218
90887,3.827
90888,3.911
90889,3.438
90890,3.996
90891,3.445
90892,2.745
90893,3.613
90894,4.2
90895,3.653
90896,2.464
90897,3.304
90898,3.628
90899,2.753
90900,3.629
90901,2.623
90902,3.347
90903,3.656
90904,3.695
90905,2.708
90906,3.184
90907,4.002
90908,3.304
90909,3.635
90910,3.409
90911,3.598
90912,2.284
90913,2.968
90914,3.936
90915,3.838
90916,2.568
90917,3.301
90918,3.362
90919,3.541
90920,2.301
90921,3.059
90922,3.99
90923,3.543
90924,3.011
90925,3.237
90926,3.402
90927,1.823
90928,4.006
90929,3.331
90930,3.711
90931,3.534
90932,3.764
90933,4.442
90934,3.291
90935,3.279
90936,2.896
90937,3.163
90938,3.616
90939,3.176
90940,3.212
90941,4.409
90942,3.745
90943,3.348
90944,3.206
90945,3.03
90946,3.908
90947,3.501
90948,3.886
90949,2.202
90950,4.229
90951,4.162
90952,4.314
90953,3.298
90954,2.627
90955,2.52
90956,3.72
90957,2.67
90958,4.045
90959,3.77
90960,3.714
90961,3.122
90962,4.228
90963,3.335
90964,3.299
90965,3.905
90966,3.624
90967,3.266
90968,2.774
90969,4.3
90970,3.673
90971,3.472
90972,3.926
90973,3.482
90974,3.616
90975,3.105
90976,3.643
90977,2.201
90978,2.641
90979,4.15
90980,2.451
90981,2.632
90982,3.505
90983,3.896
90984,2.615
90985,3.775
90986,3.871
90987,2.957
90988,2.519
90989,4.545
90990,3.656
90991,4.21
90992,4.268
90993,3.745
90994,3.35
90995,2.736
90996,3.898
90997,3.314
90998,3.622
90999,3.76
91000,3.246
91001,3.048
91002,3.585
91003,3.665
91004,3.592
91005,3.094
91006,3.33
91007,2.889
91008,4.168
91009,4.14
91010,2.485
91011,2.549
91012,3.077
91013,4.045
91014,4.129
91015,3.466
91016,3.529
91017,3.966
91018,3.459
91019,3.44
91020,2.343
91021,3.582
91022,1.444
91023,3.643
91024,3.361
91025,3.188
91026,3.887
91027,2.993
91028,4.245
91029,2.274
91030,4.256
91031,4.018
91032,3.785
91033,3.919
91034,2.429
91035,4.23
91036,2.994
91037,4.249
91038,3.403
91039,2.819
91040,3.302
91041,4.119
91042,4.043
91043,3.939
91044,3.268
91045,3.299
91046,3.94
91047,3.401
91048,2.339
91049,3.574
91050,3.508
91051,4.061
91052,2.803
91053,2.67
91054,3.544
91055,2.352
91056,3.387
91057,3.233
91058,2.549
91059,3.526
91060,2.248
91061,3.703
91062,4.141
91063,3.66
91064,4
91065,4.101
91066,3.261
91067,3.349
91068,4.248
91069,3.438
91070,4.098
91071,3.55
91072,3.933
91073,3.879
91074,2.634
91075,2.885
91076,2.723
91077,1.889
91078,3.693
91079,3.334
91080,2.23
91081,3.538
91082,3.59
91083,3.097
91084,3.518
91085,4.595
91086,3.764
91087,3.402
91088,4.211
91089,3.458
91090,3.926
91091,3.125
91092,4.165
91093,3.725
91094,3.071
91095,3.141
91096,3.852
91097,4.161
91098,3.931
91099,2.905
91100,3.434
91101,4
91102,3.589
91103,4.217
91104,2.998
91105,3.488
91106,4.488
91107,3.36
91108,3.66
91109,3.479
91110,2.837
91111,2.868
91112,2.963
91113,3.164
91114,3.545
91115,3.174
91116,3.531
91117,2.784
91118,3.572
91119,3.24
91120,2.753
91121,3.74
91122,3.946
91123,4.236
91124,3.437
91125,3.7
91126,3.391
91127,3.616
91128,2.135
91129,3.242
91130,3.176
91131,3.92
91132,4.306
91133,3.993
91134,2.987
91135,2.079
91136,3.309
91137,1.963
91138,3.451
91139,2.84
91140,3.626
91141,4.004
91142,4.419
91143,3.716
91144,1.881
91145,3.852
91146,2.993
91147,4.317
91148,4.073
91149,2.799
91150,3.788
91151,2.984
91152,2.96
91153,1.543
91154,3.58
91155,2.824
91156,3.538
91157,4.105
91158,2.259
91159,4.05
91160,4.213
91161,3.145
91162,4.32
91163,4.143
91164,2.018
91165,3.568
91166,3.952
91167,3.975
91168,2.003
91169,3.681
91170,3.975
91171,2.41
91172,4.033
91173,4.021
91174,2.867
91175,2.219
91176,3.706
91177,3.364
91178,3.759
91179,2.976
91180,3.05
91181,3.996
91182,2.694
91183,3.492
91184,3.586
91185,2.799
91186,3.902
91187,3.413
91188,4.124
91189,2.94
91190,2.727
91191,3.859
91192,2.449
91193,3.288
91194,3.025
91195,2.917
